from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
7711,36006,0.124,800,53.86,38.26
7716,10086,0.032,800,53.86,32.17
7716,45788,0.04,800,53.86,32.66
7725,43338,0.011,800,53.86,30.73
7725,14912,0.013,800,53.86,30.87
7726,18749,0.008,800,53.86,30.5
7726,17675,0.017,800,53.86,31.11
7735,21832,0.02,800,53.86,31.36
7735,38803,0.046,800,53.86,33.04
7753,37191,0.0,800,53.86,30.0
7753,38012,0.061,800,53.86,34.04
7761,7924,0.008,800,53.86,30.54
7761,25632,0.022,800,53.86,31.46
7763,7763,0.0,800,53.86,30.0
7763,26167,0.028,800,53.86,31.87
7766,35183,0.038,800,53.86,32.57
7766,18790,0.132,800,53.86,38.85
7769,53535,0.0,800,53.86,30.0
7769,37117,0.054,800,53.86,33.58
7772,37247,0.094,800,53.86,36.27
7772,37125,0.11,800,53.86,37.33
7787,7787,0.0,800,53.86,30.0
7787,12297,0.0,800,53.86,30.0
7791,45695,0.021,800,53.86,31.4
7791,25389,0.021,800,53.86,31.4
7794,3982,0.015,800,53.86,31.03
7794,50906,0.064,800,53.86,34.25
7800,4405,0.0,800,53.86,30.0
7800,4039,0.0,800,53.86,30.02
7802,7802,0.0,800,53.86,30.0
7802,40491,0.005,800,53.86,30.37
7803,9348,0.0,800,53.86,30.0
7803,7803,0.0,800,53.86,30.0
7812,7812,0.0,800,53.86,30.0
7812,18271,0.052,800,53.86,33.45
7814,32700,0.0,800,53.86,30.0
7814,33393,0.105,800,53.86,37.0
7815,12485,0.043,800,53.86,32.87
7815,17234,0.044,800,53.86,32.92
7822,7822,0.0,800,53.86,30.0
7822,7102,0.0,800,53.86,30.0
7823,5540,0.0,800,53.86,30.0
7823,7161,0.0,800,53.86,30.0
7830,26105,0.0,800,53.86,30.0
7830,41344,0.0,800,53.86,30.0
7833,32766,0.023,800,53.86,31.54
7833,25346,0.045,800,53.86,33.0
7834,37203,0.0,800,53.86,30.0
7834,14549,0.012,800,53.86,30.78
7844,27804,0.128,800,53.86,38.53
7844,33325,0.15,800,53.86,40.02
7855,24713,0.0,800,53.86,30.0
7855,33215,0.0,800,53.86,30.0
7865,43495,0.0,800,53.86,30.0
7865,30389,0.0,800,53.86,30.0
7876,7876,0.0,800,53.86,30.0
7876,39540,0.0,800,53.86,30.0
7880,7880,0.0,800,53.86,30.0
7880,44608,0.009,800,53.86,30.59
7884,46660,0.048,800,53.86,33.2
7884,45032,0.049,800,53.86,33.25
7897,33709,0.025,800,53.86,31.69
7897,34143,0.029,800,53.86,31.91
7905,7905,0.0,800,53.86,30.0
7905,37998,0.049,800,53.86,33.28
7923,35550,0.03,800,53.86,31.98
7923,2329,0.029,800,53.86,31.97
7924,7761,0.008,800,53.86,30.54
7924,25632,0.014,800,53.86,30.92
7925,36242,0.004,800,53.86,30.24
7925,37807,0.006,800,53.86,30.38
7953,7953,0.0,800,53.86,30.0
7953,9572,0.001,800,53.86,30.06
7970,19700,0.0,800,53.86,30.0
7970,37065,0.003,800,53.86,30.18
7976,7976,0.0,800,53.86,30.0
7976,6614,0.0,800,53.86,30.0
7979,7979,0.0,800,53.86,30.0
7979,13546,0.005,800,53.86,30.3
7990,26630,0.0,800,53.86,30.02
7990,6055,0.015,800,53.86,31.03
7995,7995,0.0,800,53.86,30.0
7995,29974,0.023,800,53.86,31.53
2009,14140,0.0,800,53.86,30.0
2009,2009,0.0,800,53.86,30.0
2010,11397,0.002,800,53.86,30.1
2010,55281,0.065,800,53.86,34.35
2016,28212,0.0,800,53.86,30.0
2016,55946,0.005,800,53.86,30.36
2018,2018,0.0,800,53.86,30.0
2018,6597,0.012,800,53.86,30.83
2021,9858,0.0,800,53.86,30.0
2021,9967,0.004,800,53.86,30.3
2025,43129,0.011,800,53.86,30.73
2025,36166,0.033,800,53.86,32.24
2027,37065,0.0,800,53.86,30.0
